date,listeners,streams,followers
2019-05-10,492,743,396
2019-05-09,602,898,396
2019-05-08,700,1042,395
2019-05-07,915,1359,394
2019-05-06,1053,1399,394
2019-05-05,449,611,394
2019-05-04,574,745,394
2019-05-03,757,967,394
2019-05-02,753,1089,391
2019-05-01,813,1090,389
2019-04-30,978,1232,389
2019-04-29,1117,1375,388
2019-04-28,833,950,386
2019-04-27,944,1094,385
2019-04-26,1032,1217,383
2019-04-25,1132,1406,383
2019-04-24,1148,1403,383
2019-04-23,1068,1272,382
2019-04-22,1119,1353,380
2019-04-21,961,1131,379
2019-04-20,968,1107,379
2019-04-19,795,993,379
2019-04-18,925,1127,377
2019-04-17,1093,1280,376
2019-04-16,1033,1243,375
2019-04-15,1076,1330,372
2019-04-14,786,929,371
2019-04-13,796,942,371
2019-04-12,938,1153,371
2019-04-11,939,1119,369
2019-04-10,1088,1346,369
2019-04-09,1007,1371,368
2019-04-08,834,1180,367
2019-04-07,779,969,364
2019-04-06,789,1012,362
2019-04-05,791,1088,360
2019-04-04,1036,1436,360
2019-04-03,1101,1508,359
2019-04-02,974,1458,357
2019-04-01,1037,1417,355
2019-03-31,689,928,355
2019-03-30,702,969,353
2019-03-29,696,1022,353
2019-03-28,790,1200,352
2019-03-27,886,1385,352
2019-03-26,1024,1552,350
2019-03-25,1174,1654,349
2019-03-24,653,943,348
2019-03-23,648,943,348
2019-03-22,669,1020,346
2019-03-21,684,1005,344
2019-03-20,761,1137,343
2019-03-19,785,1293,342
2019-03-18,809,1358,341
2019-03-17,879,1604,339
2019-03-16,952,1728,339
2019-03-15,969,1871,337
2019-03-14,1056,1901,336
2019-03-13,1184,2120,336
2019-03-12,1474,2474,335
2019-03-11,1528,2482,334
2019-03-10,816,1550,334
2019-03-09,813,1510,333
2019-03-08,780,1544,332
2019-03-07,906,1682,330
2019-03-06,897,1658,328
2019-03-05,955,1535,328
2019-03-04,888,1290,326
2019-03-03,858,1218,322
2019-03-02,934,1314,320
2019-03-01,1104,1603,320
2019-02-28,1088,1667,318
2019-02-27,1296,1949,316
2019-02-26,1599,2414,315
2019-02-25,1820,2432,311
2019-02-24,461,611,309
2019-02-23,396,624,307
2019-02-22,443,618,306
2019-02-21,405,573,303
2019-02-20,431,564,303
2019-02-19,1262,1498,301
2019-02-18,2549,2882,301
2019-02-17,1441,1692,301
2019-02-16,354,518,300
2019-02-15,245,371,300
2019-02-14,23,35,298
2019-02-13,19,47,298
2019-02-12,25,48,298
2019-02-11,314,330,296
2019-02-10,313,349,296
2019-02-09,337,396,296
2019-02-08,78,118,296
2019-02-07,34,101,296
2019-02-06,36,97,295
2019-02-05,32,113,294
2019-02-04,24,71,294
2019-02-03,0,0,294
2019-02-02,0,0,294
2019-02-01,0,0,294
2019-01-31,0,0,294
2019-01-30,0,0,294
2019-01-29,0,0,294
2019-01-28,0,0,294
2019-01-27,0,0,294
2019-01-26,1,1,294
2019-01-25,1,1,294
2019-01-24,2,2,294
2019-01-23,3,8,294
2019-01-22,1,1,294
2019-01-21,1,1,294
2019-01-20,1,1,294
2019-01-19,1,1,294
2019-01-18,0,0,294
2019-01-17,2,2,294
2019-01-16,1,3,294
2019-01-15,1,1,294
2019-01-14,1,1,294
2019-01-13,1,1,294
2019-01-12,5,8,294
2019-01-11,1,2,294
2019-01-10,3,3,294
2019-01-09,2,3,294
2019-01-08,3,3,294
2019-01-07,1,1,294
2019-01-06,1,1,294
2019-01-05,2,2,294
2019-01-04,1,1,294
2019-01-03,0,0,294
2019-01-02,2,3,293
2019-01-01,0,0,293
2018-12-31,1,2,293
2018-12-30,0,0,293
2018-12-29,1,1,293
2018-12-28,2,2,293
2018-12-27,2,2,293
2018-12-26,1,1,293
2018-12-25,0,0,293
2018-12-24,3,5,293
2018-12-23,2,2,293
2018-12-22,4,12,293
2018-12-21,3,8,293
2018-12-20,4,13,293
2018-12-19,7,26,293
2018-12-18,2,4,293
2018-12-17,2,2,293
2018-12-16,1,1,292
2018-12-15,1,1,292
2018-12-14,2,2,292
2018-12-13,4,10,292
2018-12-12,1,2,292
2018-12-11,2,3,292
2018-12-10,0,0,292
2018-12-09,2,4,292
2018-12-08,2,2,292
2018-12-07,1,3,292
2018-12-06,3,3,292
2018-12-05,2,2,292
2018-12-04,2,2,292
2018-12-03,2,2,292
2018-12-02,1,1,292
2018-12-01,3,3,292
2018-11-30,1,1,291
2018-11-29,0,0,291
2018-11-28,0,0,291
2018-11-27,4,4,291
2018-11-26,1,3,291
2018-11-25,4,5,291
2018-11-24,2,2,291
2018-11-23,2,2,291
2018-11-22,1,1,291
2018-11-21,2,2,291
2018-11-20,0,0,291
2018-11-19,3,3,291
2018-11-18,2,2,291
2018-11-17,1,1,291
2018-11-16,0,0,291
2018-11-15,2,3,291
2018-11-14,2,2,291
2018-11-13,2,2,291
2018-11-12,0,0,291
2018-11-11,1,2,292
2018-11-10,0,0,292
2018-11-09,6,8,292
2018-11-08,2,4,292
2018-11-07,1,1,292
2018-11-06,2,3,292
2018-11-05,2,7,292
2018-11-04,1,1,292
2018-11-03,4,4,292
